entity,type,degree,degree_centrality,betweenness,community_id
Guardia Civil,ORG,1097,0.9325153374233129,0.048864672297459964,1
Ejército,ORG,384,0.5766871165644172,0.04674530709180489,1
Congreso,ORG,1166,0.9263803680981595,0.046183645043744066,1
Policía Nacional,ORG,627,0.7484662576687117,0.04486250903214018,1
Suárez,PER,897,0.8282208588957055,0.04470029798485157,2
Milans del Bosch,PER,877,0.7852760736196319,0.03143729795065194,2
ETA,ORG,128,0.3067484662576687,0.02516258726819831,1
Tejero,PER,933,0.803680981595092,0.025072304322723397,0
Bonel,PER,413,0.5705521472392638,0.021037932182668466,3
Gutiérrez Mellado,PER,272,0.4539877300613497,0.02093949141883095,1
Armada Española,ORG,662,0.6809815950920246,0.020196971961313516,2
García Carrés,PER,460,0.5766871165644172,0.016372713159369754,3
Pardo Zancada,PER,765,0.6503067484662577,0.0162855147021243,2
Franco,PER,95,0.2147239263803681,0.015464174725549113,1
Juste,PER,521,0.5766871165644172,0.014657861931697639,2
Alfonso Armada,ORG,945,0.7730061349693251,0.014583016837094011,2
CESID,ORG,518,0.5521472392638037,0.014571035713338419,0
Manchado,PER,377,0.4785276073619632,0.014463795870562094,3
Aramburu,PER,444,0.5276073619631902,0.013801673238618308,3
Pascual Galmés,PER,288,0.4785276073619632,0.01293850572622878,0
Torres Rojas,PER,430,0.5337423312883436,0.012352329925256792,2
Sánchez Valiente,PER,416,0.5644171779141104,0.011730920835627578,3
Capitán Acera,PER,248,0.3803680981595092,0.011293790128674088,3
Álvarez Arenas,PER,192,0.3803680981595092,0.011053537320476045,3
Muñoz Perea,PER,266,0.44785276073619634,0.010894117895760086,2
Luis Álvarez Rodríguez,PER,186,0.3803680981595092,0.010853427428936031,3
Alcalá Galiano,PER,206,0.34969325153374237,0.00983652595455198,2
Coronel Valencia Remón,PER,249,0.43558282208588955,0.009835452644387906,2
Tribunal,ORG,450,0.5030674846625767,0.009356631433159625,2
Televisión Española,ORG,77,0.18404907975460122,0.009224963451377726,1
PSOE,ORG,119,0.2147239263803681,0.00917672581811136,1
Muñecas,PER,156,0.31901840490797545,0.008938688872744406,3
Esquivias,PER,273,0.4233128834355828,0.008689743899699377,3
Cortina,PER,402,0.44785276073619634,0.008305351435013236,0
Ibáñez Freire,PER,437,0.5398773006134969,0.008047094817383332,2
Martín Fernández,PER,193,0.3128834355828221,0.007932321444643432,0
Consejo Supremo,ORG,274,0.39877300613496935,0.007124378398149835,0
López Montero,PER,388,0.4539877300613497,0.006997235426391506,0
Alonso Hernáiz,PER,129,0.3067484662576687,0.006863764706233382,0
Quintana,PER,300,0.44785276073619634,0.006613924576331683,2
Novalvos,PER,178,0.34355828220858897,0.0061147473472896235,3
Pascual Gálvez,PER,235,0.39877300613496935,0.005946216701354027,3
División Acorazada Brunete,ORG,189,0.33128834355828224,0.005703109358036208,2
César Álvarez Fernández,PER,61,0.147239263803681,0.0056050261090415535,3
Escandell,PER,277,0.4171779141104295,0.005451160403805528,2
Hermosilla,PER,419,0.44171779141104295,0.005439894176802853,2
Monge Segura,PER,173,0.3006134969325153,0.005311996040857118,0
Calvo Sotelo,PER,119,0.22699386503067484,0.005225392864921025,1
Abad Gutiérrez,PER,238,0.4110429447852761,0.005177378481484491,3
Gómez Iglesias,PER,442,0.5030674846625767,0.004987655496835921,0
Ortiz Ortiz,PER,142,0.2883435582822086,0.004976101137190926,3
Sanz Arribas,PER,142,0.294478527607362,0.004947154221826938,2
Gabeiras,PER,170,0.2822085889570552,0.0049043997894588996,2
Batista,PER,239,0.3558282208588957,0.004744023163191544,0
Vicente Carricondo,PER,81,0.20858895705521474,0.004641863918619356,3
Laína,PER,157,0.31901840490797545,0.004606315629245018,0
Miguel Ángel Aguilar,PER,114,0.24539877300613497,0.004547404051882596,2
Capitán Dusmet,PER,57,0.15950920245398773,0.0041906072867054995,0
Rey Juan Carlos,PER,290,0.39877300613496935,0.004130163222249989,1
Izquierdo,PER,110,0.25153374233128833,0.004117109058743148,3
Coronel San Martín,PER,259,0.3619631901840491,0.0041061662702244215,2
Iglesias Llamazares,PER,98,0.22085889570552147,0.0040756247476792466,1
Capitán Caballero,PER,84,0.2147239263803681,0.004006699900913146,0
José Corral Rodríguez,PER,38,0.11656441717791412,0.003965827861141972,3
Teniente Núñez Ruano,PER,121,0.2822085889570552,0.003943261128967414,3
General Lluch,PER,50,0.1411042944785276,0.0035925918641876962,3
Boza,PER,118,0.25153374233128833,0.0035897797570530543,3
Liñán,PER,140,0.27607361963190186,0.003456423771556732,2
Oliart,PER,49,0.12883435582822086,0.0033734073651880275,2
Lázaro Corthay,PER,133,0.2822085889570552,0.003211476208386787,3
Múgica Herzog,PER,68,0.16564417177914112,0.0031523136870112546,1
Sanz López,PER,73,0.17177914110429449,0.0031239397486709213,0
Felipe González,PER,65,0.15337423312883436,0.0030497682946858022,1
